medicao,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_pid,top1_ram_mb,top2_nome,top2_pid,top2_ram_mb,top3_nome,top3_pid,top3_ram_mb
1,2026-05-09 23:18:29,Windows 10.0.26200,7.84,2.62,5.22,66.6,214,TiWorker.exe,3796,819.2,MsMpEng.exe,4552,241.1,MemCompression,2916,174.0
2,2026-05-09 23:18:50,Windows 10.0.26200,7.84,2.88,4.96,63.3,214,TiWorker.exe,3796,893.5,MsMpEng.exe,4552,239.2,MemCompression,2916,173.3
3,2026-05-09 23:19:10,Windows 10.0.26200,7.84,2.84,5.0,63.8,212,TiWorker.exe,3796,907.8,MsMpEng.exe,4552,239.2,MemCompression,2916,173.4
4,2026-05-09 23:19:30,Windows 10.0.26200,7.84,2.8,5.04,64.3,212,TiWorker.exe,3796,918.2,MsMpEng.exe,4552,238.9,MemCompression,2916,173.5
5,2026-05-09 23:19:50,Windows 10.0.26200,7.84,2.75,5.09,64.9,209,TiWorker.exe,3796,931.2,MsMpEng.exe,4552,215.8,MemCompression,2916,173.5
6,2026-05-09 23:20:11,Windows 10.0.26200,7.84,2.74,5.1,65.1,207,TiWorker.exe,3796,947.8,MsMpEng.exe,4552,217.2,MemCompression,2916,173.6
7,2026-05-09 23:20:31,Windows 10.0.26200,7.84,2.67,5.17,66.0,207,TiWorker.exe,3796,959.3,MsMpEng.exe,4552,216.9,MemCompression,2916,173.7
8,2026-05-09 23:20:51,Windows 10.0.26200,7.84,2.62,5.21,66.5,207,TiWorker.exe,3796,1005.4,MsMpEng.exe,4552,216.4,MemCompression,2916,173.7
9,2026-05-09 23:21:11,Windows 10.0.26200,7.84,2.6,5.23,66.8,206,TiWorker.exe,3796,1005.4,MsMpEng.exe,4552,216.4,MemCompression,2916,173.8
10,2026-05-09 23:21:31,Windows 10.0.26200,7.84,2.6,5.24,66.9,205,TiWorker.exe,3796,1006.8,MsMpEng.exe,4552,210.8,MemCompression,2916,173.8
11,2026-05-09 23:21:52,Windows 10.0.26200,7.84,2.6,5.24,66.9,204,TiWorker.exe,3796,1007.1,MsMpEng.exe,4552,214.7,MemCompression,2916,173.8
12,2026-05-09 23:22:12,Windows 10.0.26200,7.84,2.95,4.88,62.3,204,TiWorker.exe,3796,772.6,MemCompression,2916,331.9,MsMpEng.exe,4552,179.6
13,2026-05-09 23:22:32,Windows 10.0.26200,7.84,2.92,4.92,62.8,204,TiWorker.exe,3796,773.0,MemCompression,2916,332.0,MsMpEng.exe,4552,179.2
